"Plot Title: 21309772"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 21309772, SEN S/N: 21309772)","Intensity, Lux (LGR S/N: 21309772, SEN S/N: 21309772)","Host Connected (LGR S/N: 21309772)","Coupler Attached (LGR S/N: 21309772)","End Of File (LGR S/N: 21309772)"
37,08/07/23 09:00:00 PM,28.853,0.0,,,
38,08/07/23 09:10:00 PM,28.258,0.0,,,
39,08/07/23 09:20:00 PM,27.862,0.0,,,
40,08/07/23 09:30:00 PM,28.060,0.0,,,
41,08/07/23 09:40:00 PM,27.862,0.0,,,
42,08/07/23 09:50:00 PM,27.961,0.0,,,
43,08/07/23 10:00:00 PM,28.060,0.0,,,
44,08/07/23 10:10:00 PM,27.862,0.0,,,
45,08/07/23 10:20:00 PM,28.060,0.0,,,
46,08/07/23 10:30:00 PM,27.862,0.0,,,
47,08/07/23 10:40:00 PM,27.862,0.0,,,
48,08/07/23 10:50:00 PM,28.060,0.0,,,
49,08/07/23 11:00:00 PM,27.764,0.0,,,
50,08/07/23 11:10:00 PM,27.961,0.0,,,
51,08/07/23 11:20:00 PM,28.060,0.0,,,
52,08/07/23 11:30:00 PM,27.764,0.0,,,
53,08/07/23 11:40:00 PM,28.060,0.0,,,
54,08/07/23 11:50:00 PM,28.060,0.0,,,
55,08/08/23 12:00:00 AM,27.862,0.0,,,
56,08/08/23 12:10:00 AM,27.961,0.0,,,
57,08/08/23 12:20:00 AM,28.060,0.0,,,
58,08/08/23 12:30:00 AM,27.862,0.0,,,
59,08/08/23 12:40:00 AM,27.961,0.0,,,
60,08/08/23 12:50:00 AM,28.060,0.0,,,
61,08/08/23 01:00:00 AM,27.862,0.0,,,
62,08/08/23 01:10:00 AM,27.961,0.0,,,
63,08/08/23 01:20:00 AM,28.060,0.0,,,
64,08/08/23 01:30:00 AM,27.862,0.0,,,
65,08/08/23 01:40:00 AM,27.961,0.0,,,
66,08/08/23 01:50:00 AM,28.060,0.0,,,
67,08/08/23 02:00:00 AM,27.961,0.0,,,
68,08/08/23 02:10:00 AM,27.862,0.0,,,
69,08/08/23 02:20:00 AM,28.060,0.0,,,
70,08/08/23 02:30:00 AM,27.961,0.0,,,
71,08/08/23 02:40:00 AM,27.764,0.0,,,
72,08/08/23 02:50:00 AM,27.961,0.0,,,
73,08/08/23 03:00:00 AM,28.060,0.0,,,
74,08/08/23 03:10:00 AM,27.764,0.0,,,
75,08/08/23 03:20:00 AM,28.060,0.0,,,
76,08/08/23 03:30:00 AM,27.862,0.0,,,
77,08/08/23 03:40:00 AM,27.862,0.0,,,
78,08/08/23 03:50:00 AM,28.060,0.0,,,
79,08/08/23 04:00:00 AM,27.862,0.0,,,
80,08/08/23 04:10:00 AM,27.862,0.0,,,
81,08/08/23 04:20:00 AM,28.060,0.0,,,
82,08/08/23 04:30:00 AM,27.961,0.0,,,
83,08/08/23 04:40:00 AM,27.764,0.0,,,
84,08/08/23 04:50:00 AM,28.060,0.0,,,
85,08/08/23 05:00:00 AM,27.862,0.0,,,
86,08/08/23 05:10:00 AM,27.862,0.0,,,
87,08/08/23 05:20:00 AM,28.159,0.0,,,
88,08/08/23 05:30:00 AM,27.764,0.0,,,
89,08/08/23 05:40:00 AM,27.862,0.0,,,
90,08/08/23 05:50:00 AM,28.060,0.0,,,
91,08/08/23 06:00:00 AM,27.764,0.0,,,
92,08/08/23 06:10:00 AM,27.961,0.0,,,
93,08/08/23 06:20:00 AM,28.060,0.0,,,
94,08/08/23 06:30:00 AM,27.764,0.0,,,
95,08/08/23 06:40:00 AM,27.862,10.8,,,
96,08/08/23 06:50:00 AM,28.060,32.3,,,
97,08/08/23 07:00:00 AM,27.764,75.3,,,
98,08/08/23 07:10:00 AM,27.862,107.6,,,
99,08/08/23 07:20:00 AM,28.159,161.5,,,
100,08/08/23 07:30:00 AM,27.862,172.2,,,
101,08/08/23 07:40:00 AM,27.862,247.6,,,
102,08/08/23 07:50:00 AM,28.159,290.6,,,
103,08/08/23 08:00:00 AM,27.862,290.6,,,
104,08/08/23 08:10:00 AM,27.961,581.3,,,
105,08/08/23 08:20:00 AM,28.159,624.3,,,
106,08/08/23 08:30:00 AM,27.862,731.9,,,
107,08/08/23 08:40:00 AM,27.961,828.8,,,
108,08/08/23 08:50:00 AM,28.159,473.6,,,
109,08/08/23 09:00:00 AM,27.862,958.0,,,
110,08/08/23 09:10:00 AM,28.357,1001.0,,,
111,08/08/23 09:20:00 AM,28.655,1345.5,,,
112,08/08/23 09:30:00 AM,28.853,1345.5,,,
113,08/08/23 09:40:00 AM,28.953,1550.0,,,
114,08/08/23 09:50:00 AM,29.053,1636.1,,,
115,08/08/23 10:00:00 AM,28.853,1463.9,,,
116,08/08/23 10:10:00 AM,28.357,2152.8,,,
117,08/08/23 10:20:00 AM,27.862,2152.8,,,
118,08/08/23 10:30:00 AM,28.159,1894.5,,,
119,08/08/23 10:40:00 AM,27.961,1980.6,,,
120,08/08/23 10:50:00 AM,28.060,2066.7,,,
121,08/08/23 11:00:00 AM,28.060,1119.5,,,
122,08/08/23 11:10:00 AM,28.060,1808.3,,,
123,08/08/23 11:20:00 AM,28.060,2583.4,,,
124,08/08/23 11:30:00 AM,28.159,2669.5,,,
125,08/08/23 11:40:00 AM,27.961,2497.2,,,
126,08/08/23 11:50:00 AM,28.060,1808.3,,,
127,08/08/23 12:00:00 PM,28.456,4650.0,,,
128,08/08/23 12:10:00 PM,28.655,1636.1,,,
129,08/08/23 12:20:00 PM,28.258,2152.8,,,
130,08/08/23 12:30:00 PM,28.060,4477.8,,,
131,08/08/23 12:40:00 PM,28.060,258.3,,,
132,08/08/23 12:50:00 PM,27.862,1054.9,,,
133,08/08/23 01:00:00 PM,28.159,2755.6,,,
134,08/08/23 01:10:00 PM,28.258,3788.9,,,
135,08/08/23 01:20:00 PM,28.060,1377.8,,,
136,08/08/23 01:30:00 PM,28.456,3272.2,,,
137,08/08/23 01:40:00 PM,28.159,1722.2,,,
138,08/08/23 01:50:00 PM,28.159,2238.9,,,
139,08/08/23 02:00:00 PM,26.390,0.0,,,
140,08/08/23 02:01:30 PM,,,Logged,,
141,08/08/23 02:01:31 PM,,,,Logged,Logged
