"Plot Title: 1058736"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058736, SEN S/N: 1058736)","Host Connected (LGR S/N: 1058736)","Coupler Attached (LGR S/N: 1058736)","End Of File (LGR S/N: 1058736)"
1,08/07/23 03:20:00 PM,29.152,,,
2,08/07/23 03:30:00 PM,28.159,,,
3,08/07/23 03:40:00 PM,27.764,,,
4,08/07/23 03:50:00 PM,27.961,,,
5,08/07/23 04:00:00 PM,27.665,,,
6,08/07/23 04:10:00 PM,28.060,,,
7,08/07/23 04:20:00 PM,27.862,,,
8,08/07/23 04:30:00 PM,28.060,,,
9,08/07/23 04:40:00 PM,27.764,,,
10,08/07/23 04:50:00 PM,28.060,,,
11,08/07/23 05:00:00 PM,27.665,,,
12,08/07/23 05:10:00 PM,27.961,,,
13,08/07/23 05:20:00 PM,27.665,,,
14,08/07/23 05:30:00 PM,27.961,,,
15,08/07/23 05:40:00 PM,27.665,,,
16,08/07/23 05:50:00 PM,27.862,,,
17,08/07/23 06:00:00 PM,27.665,,,
18,08/07/23 06:10:00 PM,28.060,,,
19,08/07/23 06:20:00 PM,27.764,,,
20,08/07/23 06:30:00 PM,28.060,,,
21,08/07/23 06:40:00 PM,27.862,,,
22,08/07/23 06:50:00 PM,28.258,,,
23,08/07/23 07:00:00 PM,28.555,,,
24,08/07/23 07:10:00 PM,28.853,,,
25,08/07/23 07:20:00 PM,29.152,,,
26,08/07/23 07:30:00 PM,29.252,,,
27,08/07/23 07:40:00 PM,29.352,,,
28,08/07/23 07:50:00 PM,29.352,,,
29,08/07/23 08:00:00 PM,29.452,,,
30,08/07/23 08:10:00 PM,29.452,,,
31,08/07/23 08:20:00 PM,29.452,,,
32,08/07/23 08:30:00 PM,29.452,,,
33,08/07/23 08:40:00 PM,29.452,,,
34,08/07/23 08:50:00 PM,29.252,,,
35,08/07/23 09:00:00 PM,28.655,,,
36,08/07/23 09:10:00 PM,28.060,,,
37,08/07/23 09:20:00 PM,27.665,,,
38,08/07/23 09:30:00 PM,27.862,,,
39,08/07/23 09:40:00 PM,27.665,,,
40,08/07/23 09:50:00 PM,27.764,,,
41,08/07/23 10:00:00 PM,27.862,,,
42,08/07/23 10:10:00 PM,27.665,,,
43,08/07/23 10:20:00 PM,27.862,,,
44,08/07/23 10:30:00 PM,27.665,,,
45,08/07/23 10:40:00 PM,27.764,,,
46,08/07/23 10:50:00 PM,27.862,,,
47,08/07/23 11:00:00 PM,27.567,,,
48,08/07/23 11:10:00 PM,27.764,,,
49,08/07/23 11:20:00 PM,27.862,,,
50,08/07/23 11:30:00 PM,27.665,,,
51,08/07/23 11:40:00 PM,27.862,,,
52,08/07/23 11:50:00 PM,27.862,,,
53,08/08/23 12:00:00 AM,27.665,,,
54,08/08/23 12:10:00 AM,27.764,,,
55,08/08/23 12:20:00 AM,27.862,,,
56,08/08/23 12:30:00 AM,27.665,,,
57,08/08/23 12:40:00 AM,27.764,,,
58,08/08/23 12:50:00 AM,27.862,,,
59,08/08/23 01:00:00 AM,27.665,,,
60,08/08/23 01:10:00 AM,27.764,,,
61,08/08/23 01:20:00 AM,27.862,,,
62,08/08/23 01:30:00 AM,27.665,,,
63,08/08/23 01:40:00 AM,27.764,,,
64,08/08/23 01:50:00 AM,27.862,,,
65,08/08/23 02:00:00 AM,27.764,,,
66,08/08/23 02:10:00 AM,27.665,,,
67,08/08/23 02:20:00 AM,27.862,,,
68,08/08/23 02:30:00 AM,27.764,,,
69,08/08/23 02:40:00 AM,27.665,,,
70,08/08/23 02:50:00 AM,27.862,,,
71,08/08/23 03:00:00 AM,27.862,,,
72,08/08/23 03:10:00 AM,27.665,,,
73,08/08/23 03:20:00 AM,27.961,,,
74,08/08/23 03:30:00 AM,27.665,,,
75,08/08/23 03:40:00 AM,27.665,,,
76,08/08/23 03:50:00 AM,27.961,,,
77,08/08/23 04:00:00 AM,27.665,,,
78,08/08/23 04:10:00 AM,27.665,,,
79,08/08/23 04:20:00 AM,27.862,,,
80,08/08/23 04:30:00 AM,27.764,,,
81,08/08/23 04:40:00 AM,27.665,,,
82,08/08/23 04:50:00 AM,27.862,,,
83,08/08/23 05:00:00 AM,27.665,,,
84,08/08/23 05:10:00 AM,27.665,,,
85,08/08/23 05:20:00 AM,27.961,,,
86,08/08/23 05:30:00 AM,27.567,,,
87,08/08/23 05:40:00 AM,27.764,,,
88,08/08/23 05:50:00 AM,27.961,,,
89,08/08/23 06:00:00 AM,27.567,,,
90,08/08/23 06:10:00 AM,27.764,,,
91,08/08/23 06:20:00 AM,27.961,,,
92,08/08/23 06:30:00 AM,27.567,,,
93,08/08/23 06:40:00 AM,27.764,,,
94,08/08/23 06:50:00 AM,27.961,,,
95,08/08/23 07:00:00 AM,27.567,,,
96,08/08/23 07:10:00 AM,27.665,,,
97,08/08/23 07:20:00 AM,27.961,,,
98,08/08/23 07:30:00 AM,27.665,,,
99,08/08/23 07:40:00 AM,27.665,,,
100,08/08/23 07:50:00 AM,27.961,,,
101,08/08/23 08:00:00 AM,27.665,,,
